PIB File Number,Date Occurred,Originating Bureau,Division Level,Division,Unit,Working Status,Shift,Investigation Status,Disposition,Service Type,Light Condition,Weather Condition,Number of Officers,Number of Subjects,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2016-0520,10/21/2016,FOB - Field Operations Bureau,7th District,Task Force,A,,,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,2,1,Force (Take Down) | Force (Take Down),L2 | L2,Unknown Drugs,Yes | Yes,Black | White,Male | Male,47 | 32,16 | 9,0 feet to 1 feet,Male,Black,40,Medium,5'7'' to 5'9'',No,No,Yes,,Refusal of Verbal Commands,No | No
FTN2016-0179,3/30/2016,FOB - Field Operations Bureau,7th District,Night Watch,,,,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,2,1,Hands | Hands,L1 | L1,Alchohol and unknown drugs,Yes | Yes,Black | Black,Female | Male,36 | 42,19 | 23,1 feet to 3 feet,Male,Black,32,Medium,5'4'' to 5'6'',No,No,Yes,,Refusal of Verbal Commands,No | No
FTN2016-0247,5/3/2016,FOB - Field Operations Bureau,3rd District,Detailed/Other,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,2,1,Hands | CEW Deployment,L1 | L2,Mentally unstable,No | Yes,Black | Black,Male | Male,35 | 35,15 | 15,1 feet to 3 feet,Male,Black,22,Medium,5'7'' to 5'9'',No,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2016-0252,5/4/2016,FOB - Field Operations Bureau,8th District,D.I.U.,Property,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,2,1,Hands | Other,L1 | L2,Alchohol and unknown drugs,Yes | Yes,White | White,Female | Female,41 | 41,21 | 21,0 feet to 1 feet,Male,White,24,Medium,5'10'' to 6'0'',No,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2016-0258,5/7/2016,FOB - Field Operations Bureau,5th District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,None detected,Yes,Black,Male,47,15,11 feet to 14 feet,Male,Black,24,Small,5'4'' to 5'6'',No,No,Yes,,Refusal of Verbal Commands,No
FTN2022-0455,12/4/2022,FOB - Field Operations Bureau,8th District,Unknown,Patrol,Regular Working,Unknown Shift Hours,Completed,UOF Justified With Policy Violation,Pedestrian Stop,Good,Foggy Condition,2,1,Hands | Hands,L1 | L1,Unknown,Yes | Yes,Black | White,Male | Male,44 | 49,4 | 3,0 feet to 1 feet,Male,Black,36,Large,> 6'3'',No,No,No,,Resisting Lawful Arrest,No | No
FTN2016-0302,6/8/2016,FOB - Field Operations Bureau,3rd District,B Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,4,1,Firearm (Exhibited) | Hands | Hands | Hands,L1 | L1 | L1 | L1,Mentally unstable,Yes | Yes | Yes | Yes,White | White | White | White,Male | Male | Male | Male,45 | 52 | 45 | 31,19 | 39 | 26 | 8,0 feet to 1 feet,Male,W,30,Medium,5'10'' to 6'0'',No,No,No,,Refusal of Verbal Commands,No | No | No | No
FTN2016-0392,8/1/2016,FOB - Field Operations Bureau,2nd District,B Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1,CEW Deployment,L2,Alchohol,Yes,White,Male,38,19,1 feet to 3 feet,Male,Black,52,Medium,5'7'' to 5'9'',No,Yes,Yes,,Refusal of Verbal Commands,No
FTN2016-0433,8/28/2016,FOB - Field Operations Bureau,2nd District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,White,Male,37,17,15 feet to 18 feet,Male,Black,60,Medium,5'10'' to 6'0'',No,No,No,,Other,No
FTN2016-0131,3/8/2016,FOB - Field Operations Bureau,8th District,Day Watch,Patrol,,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,2,2,Firearm (Exhibited) | Hands,L1 | L1,Unknown | Unknown,Yes | Yes,White | White,Male | Male,33 | 30,12 | 10,0 feet to 1 feet | 0 feet to 1 feet,Male | Male,Black | Black,18 | 22,Small | Small,5'7'' to 5'9'' | 5'7'' to 5'9'',No | No,No | No,No | No,,Resisting Lawful Arrest,No | No
FTN2016-0305,6/10/2016,FOB - Field Operations Bureau,7th District,Evening Watch,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1,CEW Exhibited/Laser,L1,None detected,Yes,Black,Male,43,9,15 feet to 18 feet,Female,Black,,Medium,5'0'' to 5'3'',No,Yes,No,,Refusal of Verbal Commands,No
FTN2016-0512,10/15/2016,FOB - Field Operations Bureau,8th District,Day Watch,,,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,2,1,Hands | Hands,L1 | L1,Unknown,Yes | Yes,Black | White,Male | Male,53 | 48,20 | 8,1 feet to 3 feet,Male,Black,17,Small,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No | No
FTN2016-0501,10/10/2016,FOB - Field Operations Bureau,8th District,Day Watch,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,3,1,Force (Take Down) | Force (Take Down) | Head Strike (No Wep),L2 | L2 | L3,Unknown,Yes | Yes | Yes,Black | Black | Black,Male | Male | Male,44 | 32 | 32,8 | 16 | 16,1 feet to 3 feet,Male,White,32,Medium,5'4'' to 5'6'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No | No
FTN2016-0651,12/29/2016,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1,Force (Take Down),L2,Unknown,Yes,White,Male,38,19,0 feet to 1 feet,Male,White,26,Small,5'4'' to 5'6'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0196,4/8/2016,FOB - Field Operations Bureau,6th District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,2,1,Hands | Force (Take Down),L1 | L2,Mentally unstable,Yes | Yes,White | White,Male | Male,37 | 37,23 | 12,0 feet to 1 feet,Male,Black,52,Medium,5'7'' to 5'9'',No,Yes,Yes,,Resisting Lawful Arrest,No | Yes
FTN2016-0277,5/19/2016,FOB - Field Operations Bureau,1st District,A Platoon,,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,1,1,Hands,L1,Unknown,Yes,,,,,0 feet to 1 feet,Male,Black,,Medium,5'10'' to 6'0'',No,No,No,,Battery on Police Officer,Yes
FTN2016-0334,6/27/2016,FOB - Field Operations Bureau,7th District,Evening Watch,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,2,1,Firearm (Exhibited) | Force (Take Down),L1 | L2,None detected,Yes | Yes,Black | White,Male | Male,28 | 26,10 | 9,4 feet to 6 feet,Male,Black,35,Small,5'0'' to 5'3'',No,No,No,,Refusal of Verbal Commands,No | No
FTN2016-0421,8/18/2016,FOB - Field Operations Bureau,6th District,Staff,,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,Alchohol and unknown drugs,Yes,Black,Male,35,12,4 feet to 6 feet,Male,Black,56,Medium,5'7'' to 5'9'',No,No,Yes,,Other,No
FTN2016-0364,7/11/2016,FOB - Field Operations Bureau,4th District,Task Force,A,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,2,1,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,None detected,Yes | Yes,Black | Black,Male | Male,29 | 55,14 | 32,7 feet to 10 feet,Male,Black,0,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No | No
FTN2016-0234,4/23/2016,FOB - Field Operations Bureau,3rd District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,3,1,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,,Yes | Yes | Yes,Black | Black | White,Male | Male | Male,32 | 43 | 60,17 | 26 | 21,,Male,White,38,,,No,No,No,,Other,No | No | No
FTN2016-0631,12/17/2016,FOB - Field Operations Bureau,4th District,Task Force,A,,,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,1,2,Firearm (Exhibited),L1,None detected | None detected,Yes,Black,Male,42,17,15 feet to 18 feet | 15 feet to 18 feet, | Male, | Black,35 | 28,Medium | Medium,6'1'' to 6'3'' | 6'1'' to 6'3'',No | No,Yes | Yes,Yes | Yes,,Escape,No
FTN2016-0523,10/22/2016,FOB - Field Operations Bureau,2nd District,A Platoon,,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,2,1,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,None detected,Yes | Yes,Hispanic | White,Male | Male,51 | 52,27 | 0,1 feet to 3 feet,Male,Black,27,Small,5'10'' to 6'0'',No,No,Yes,,Other,No | No
FTN2016-0616,12/7/2016,FOB - Field Operations Bureau,7th District,Task Force,A,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,33,15,11 feet to 14 feet,Male,Black,18,Medium,5'7'' to 5'9'',No,No,Yes,,Escape,No
FTN2016-0280,5/20/2016,FOB - Field Operations Bureau,7th District,Task Force,A,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,2,1,CEW Exhibited/Laser | Other,L1 | L1,Unknown,Yes | Yes,Black | White,Male | Male,39 | 31,17 | 11,0 feet to 1 feet,Male,Black,15,Medium,5'7'' to 5'9'',No,Yes,Yes,,Escape,No | No
FTN2016-0636,12/19/2016,FOB - Field Operations Bureau,7th District,Day Watch,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Alchohol,No,White,Male,42,27,11 feet to 14 feet,Female,Black,31,Medium,5'7'' to 5'9'',No,No,Yes,,Other,No
FTN2016-0551,11/5/2016,FOB - Field Operations Bureau,7th District,Task Force,A,,,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,47,16,7 feet to 10 feet,Male,Black,26,Medium,5'7'' to 5'9'',No,Yes,Yes,,Escape,No
FTN2016-0202,4/9/2016,FOB - Field Operations Bureau,1st District,A Platoon,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,2,2,Force (Take Down) | Force (Take Down),L2 | L2,Alchohol | Alchohol,Yes | Yes,Asian/Pacific Islander | Hispanic,Male | Male,33 | 49,19 | 27,1 feet to 3 feet | 1 feet to 3 feet, | Male, | Black,,Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'',No | No,No | No,Yes | Yes,,Resisting Lawful Arrest,No | No
FTN2016-0031,1/14/2016,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1,Force (Take Down),L2,None detected,Yes,Black,Male,47,17,0 feet to 1 feet,Male,Black,44,Medium,5'4'' to 5'6'',Yes,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0233,4/27/2016,FOB - Field Operations Bureau,3rd District,C Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Alchohol,Yes,White,Male,38,10,0 feet to 1 feet,Male,White,24,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0530,10/25/2016,FOB - Field Operations Bureau,4th District,Task Force,A,,,Completed,Use Of Force Authorized,Traffic Stop,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,None detected,Yes,Black,Male,55,32,11 feet to 14 feet,Male,Black,24,Medium,5'7'' to 5'9'',No,No,Yes,,Other,No
FTN2016-0609,12/6/2016,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,47,16,15 feet to 18 feet,Male,Black,26,Medium,6'1'' to 6'3'',No,No,Yes,,Refusal of Verbal Commands,No
FTN2016-0584,11/26/2016,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,,,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,1,1,Force (Take Down),L2,Alchohol,Yes,White,Male,37,17,0 feet to 1 feet,Male,Black,38,Small,5'4'' to 5'6'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0586,11/27/2016,FOB - Field Operations Bureau,8th District,Day Watch,,,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,1,1,Force (Take Down),L2,Alchohol and unknown drugs,Yes,Black,Male,32,16,0 feet to 1 feet,Male,White,30,Large,5'0'' to 5'3'',No,No,Yes,,Battery on Police Officer,No
FTN2017-0220,5/1/2017,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,None detected,Yes,Black,Male,40,25,0 feet to 1 feet,Male,Black,30,Medium,5'7'' to 5'9'',No,No,Yes,,Other,No
FTN2016-0571,11/19/2016,FOB - Field Operations Bureau,7th District,Task Force,A,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,2,2,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Unknown | Unknown,Yes | Yes,Black | White,Male | Male,47 | 29,16 | 8,11 feet to 14 feet | 11 feet to 14 feet,Male | Male,Black | Black,15 | 11,Medium | Medium,5'4'' to 5'6'' | 5'4'' to 5'6'',No | No,No | No,No | No,,Refusal of Verbal Commands,No | No
FTN2017-0167,4/1/2017,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,None detected,Yes,Black,Male,40,25,4 feet to 6 feet,Male,Black,17,Medium,5'4'' to 5'6'',No,No,No,,Refusal of Verbal Commands,No
FTN2016-0361,7/11/2016,FOB - Field Operations Bureau,4th District,Task Force,A,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,3,1,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,None detected,Yes | Yes | Yes,Black | Black | Not Specified,Male | Male | Male,38 | 52 | 27,16 | 1 | 10,1 feet to 3 feet,Male,Black,18,Medium,5'10'' to 6'0'',No,No,Yes,,Refusal of Verbal Commands,No | No | No
FTN2016-0010,1/5/2016,FOB - Field Operations Bureau,7th District,Task Force,A,,,Completed,Use Of Force Authorized,Arresting,,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,White,Male,31,11,15 feet to 18 feet,Male,Black,18,Medium,5'10'' to 6'0'',No,Yes,Yes,,Escape,No
FTN2016-0357,7/9/2016,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,3,1,Hands | Hands | Other,L1 | L1 | L2,Mentally unstable,Yes | Yes | Yes,Asian/Pacific Islander | Black | Asian/Pacific Islander,Male | Male | Male,30 | 44 | 41,15 | 26 | 9,1 feet to 3 feet,Male,Black,16,Medium,5'10'' to 6'0'',No,Yes,Yes,,Escape,No | No | Yes
FTN2016-0200,4/9/2016,FOB - Field Operations Bureau,5th District,B Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1,Force (Take Down),L2,Mentally unstable,Yes,White,Male,39,15,0 feet to 1 feet,Male,Black,50,Medium,5'10'' to 6'0'',No,Yes,No,,Resisting Lawful Arrest,No
FTN2016-0163,3/21/2016,MSB - Management Services Bureau,Administrative Duties Division,Extended Sick,Patrol,,,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,1,1,Hands,L1,None detected,Yes,Black,Male,40,27,0 feet to 1 feet,Male,Black,39,Medium,5'7'' to 5'9'',Yes,No,Yes,,Other,Yes
FTN2016-0020,1/10/2016,FOB - Field Operations Bureau,Unknown,,,,,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,4,1,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1 | L1,Alchohol and unknown drugs,Yes | Yes | Yes | Yes,White | Black | White | White,Male | Male | Male | Male,63 | 28 | 46 | 37,44 | 14 | 32 | 22,7 feet to 10 feet,Male,Black,51,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Officer w/Weapon,No | No | No | No
FTN2016-0183,4/1/2016,FOB - Field Operations Bureau,8th District,C Platoon,,,,Completed,Use Of Force Authorized,Traffic Stop,Poor,Clear Conditions,1,1,Other,L2,Unknown,No,White,Male,54,27,1 feet to 3 feet,Male,Black,31,Medium,5'10'' to 6'0'',No,No,No,,Resisting Lawful Arrest,Yes
FTN2016-0427,8/23/2016,MSB - Management Services Bureau,Administrative Duties Division,LWOP,,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,2,2,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,None detected | None detected,Yes | Yes,Hispanic | Black,Male | Male,51 | 52,17 | 35,7 feet to 10 feet | 7 feet to 10 feet,Male | Male,Black | Black,23 | 49,Medium | Medium,5'7'' to 5'9'' | 5'7'' to 5'9'',No | No,No | No,Yes | Yes,,Refusal of Verbal Commands,No | No
FTN2016-0642,12/24/2016,FOB - Field Operations Bureau,7th District,Day Watch,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,2,1,Handcuffed Subject | Force (Escort Tech),L4 | L1,Alchohol,Yes | Yes,White | White,Male | Male,42 | 28,27 | 8,0 feet to 1 feet,Male,Black,50,Medium,5'7'' to 5'9'',No,Yes,Yes,,Battery on Police Officer,Yes | Yes
FTN2016-0613,11/8/2016,FOB - Field Operations Bureau,1st District,A Platoon,,Regular Working,,Completed,Use Of Force Authorized,Traffic Stop,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,,,,,11 feet to 14 feet,Male,Hispanic,27,Medium,,No,No,No,,Other,No
FTN2016-0103,2/17/2016,FOB - Field Operations Bureau,7th District,Task Force,A,,,Completed,Use Of Force Authorized,Traffic Stop,Poor,Clear Conditions,4,2,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Canine (No Bite),L1 | L1 | L1 | L1,Unknown | Unknown,Yes | Yes | Yes | Yes,Black | Black | Black | White,Male | Male | Male | Male,39 | 42 | 46 | 48,17 | 19 | 31 | 32,15 feet to 18 feet | 15 feet to 18 feet,Male | Male,Black | Black,16 | 16,Small | Small,5'4'' to 5'6'' | 5'4'' to 5'6'',Yes | Yes,Yes | Yes,Yes | Yes,,Escape,No | No | No | No
FTN2016-0119,2/29/2016,ISB - Investigation and Support Bureau,Special Investigations Division,Court Liaison,,,,Completed,Use Of Force Authorized,Other,Good,,1,1,Hands,L1,Unknown,Yes,Black,Male,53,7,0 feet to 1 feet,Male,Black,14,Small,5'4'' to 5'6'',No,No,Yes,,Battery on Police Officer,Yes
FTN2016-0087,2/10/2016,FOB - Field Operations Bureau,7th District,Task Force,A,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,5,4,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1 | L1 | L1,Unknown | Unknown | Unknown | Unknown,Yes | Yes | Yes | Yes | Yes,Black | Black | White | Black | Black,Male | Male | Male | Male | Male,29 | 30 | 26 | 24 | 28,15 | 14 | 9 | 9 | 9,19 feet to 21 feet | 19 feet to 21 feet | 19 feet to 21 feet | 19 feet to 21 feet,Male | Male | Male | Male,Black | Black | Black | Black,14 | 17 | 18 | 16,Small | Small | Small | Small,5'4'' to 5'6'' | 5'4'' to 5'6'' | 5'4'' to 5'6'' | 5'4'' to 5'6'',No | No | No | No,Yes | Yes | Yes | Yes,Yes | Yes | Yes | Yes,,Resisting Lawful Arrest,No | No | No | No | No
FTN2016-0078,2/7/2016,FOB - Field Operations Bureau,8th District,C Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1,Force (Take Down),L2,Mentally unstable,Yes,Black,Male,41,21,0 feet to 1 feet,Female,Black,28,Small,5'4'' to 5'6'',No,Yes,No,,Other,No
FTN2016-0160,3/20/2016,FOB - Field Operations Bureau,4th District,Task Force,A,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,5,1,Hands | Force (Take Down) | Hands | Force (Take Down) | Hands,L1 | L2 | L1 | L2 | L1,Unknown,Yes | Yes | Yes | Yes | Yes,White | White | Black | Black | Black,Male | Male | Male | Male | Male,33 | 33 | 44 | 44 | 42,19 | 19 | 23 | 23 | 22,0 feet to 1 feet,Male,Black,21,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,Yes | Yes | Yes | Yes | No
FTN2017-0065,2/6/2017,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,40,17,22 feet to 25 feet,Male,Black,19,Small,5'4'' to 5'6'',No,No,Yes,,Refusal of Verbal Commands,No
FTN2016-0527,10/25/2016,FOB - Field Operations Bureau,1st District,A Platoon,,Regular Working,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,3,1,Force (Take Down) | CEW Exhibited/Laser | Force (Take Down),L2 | L1 | L2,None detected,Yes | Limited | Yes,Black | Hispanic | Black,Male | Male | Male,33 | 28 | 54, | 15 | 3,0 feet to 1 feet,Male,Black,34,Medium,6'1'' to 6'3'',Yes,Yes,Yes,,Resisting Lawful Arrest,Yes | Yes | No
FTN2022-0296,8/9/2022,FOB - Field Operations Bureau,2nd District,D.I.U.,Investigations,Regular Working,,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,Takedown (no injury),L1,None detected,Yes,Hispanic,Male,24,4,4 feet to 6 feet,Male,Black,35,Large,5'7'' to 5'9'',No,No,Yes,,Flight from an Officer,No
FTN2016-0614,12/7/2016,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,None detected,Yes,White,Male,37,17,15 feet to 18 feet,Male,Black,15,Small,5'4'' to 5'6'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2017-0567,10/31/2017,FOB - Field Operations Bureau,6th District,,,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,1,CEW Exhibited/Laser,L1,Unknown,Yes,White,Male,27,8,11 feet to 14 feet,Male,Black,59,Medium,5'7'' to 5'9'',No,No,No,,Weapon Exhibited,No
FTN2016-0332,6/27/2016,FOB - Field Operations Bureau,6th District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1,Force (Take Down),L2,Mentally unstable,Yes,White,Male,30,15,0 feet to 1 feet,Male,Hispanic,54,Medium,5'7'' to 5'9'',No,Yes,No,,Other,No
FTN2016-0014,1/7/2016,FOB - Field Operations Bureau,1st District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Rainy Conditions - Light,6,1,Hands | CEW Deployment | Firearm (Exhibited) | Hands | Hands | Hands,L1 | L2 | L1 | L1 | L1 | L1,None detected,No | Yes | No | No | No | No,Black | Black | Black | Black | Black | White,Female | Male | Male | Male | Male | Male,35 | 46 | 59 | 59 | 26 | 26,15 | 29 | 23 | 23 | 11 | 9,0 feet to 1 feet,Male,Black,32,Medium,6'1'' to 6'3'',No,Yes,Yes,,Resisting Lawful Arrest,No | No | No | No | No | No
FTN2016-0015,1/8/2016,FOB - Field Operations Bureau,1st District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,5,1,Force (Take Down) | Force (Take Down) | Force (Take Down) | Force (Take Down) | CEW Exhibited/Laser,L2 | L2 | L2 | L2 | L1,Mentally unstable,Yes | Yes | Yes | Yes | Limited,White | Black | Black | Black | Black,Male | Male | Male | Male | Female,48 | 46 | 60 | 39 | 38,32 | 29 | 8 | 25 | 23,0 feet to 1 feet,Male,Black,57,XLarge,6'1'' to 6'3'',Yes,Yes,No,,Refusal of Verbal Commands,No | No | No | No | No
FTN2016-0313,6/16/2016,FOB - Field Operations Bureau,7th District,Day Watch,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1,CEW Exhibited/Laser,L1,Alchohol,Yes,White,Male,42,27,1 feet to 3 feet,Male,Black,55,Medium,5'10'' to 6'0'',No,No,No,,Other,No
FTN2016-0426,8/23/2016,FOB - Field Operations Bureau,6th District,Staff,,,,Completed,Use Of Force Authorized,Pedestrian Stop,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,Alchohol and unknown drugs,Yes,White,Male,47,16,7 feet to 10 feet,Male,Black,45,Medium,5'7'' to 5'9'',No,No,Yes,,Other,No
FTN2017-0130,3/14/2017,FOB - Field Operations Bureau,8th District,Bourbon Promenade,,Paid Detail,,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,1,1,Force (Take Down),L2,Alchohol,Yes,Black,Male,47,26,0 feet to 1 feet,Male,White,56,Medium,5'10'' to 6'0'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2016-0209,4/12/2016,FOB - Field Operations Bureau,7th District,Task Force,A,,,Completed,Use Of Force Authorized,Call for Service,Good,Other,4,2,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1 | L1,Unknown | Unknown,Yes | Yes | Yes | Yes,Black | Black | Black | White,Female | Male | Male | Male,35 | 47 | 33 | 26,20 | 16 | 15 | 9,1 feet to 3 feet | 1 feet to 3 feet,Male | Male,Black | Black,18 | 21,Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'',No | No,No | No,Yes | Yes,,Resisting Lawful Arrest,No | No | No | No
FTN2017-0183,4/7/2017,FOB - Field Operations Bureau,7th District,D.I.U.,Squad 1,Regular Working,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,None detected,Yes,White,Male,51,0,1 feet to 3 feet,Male,Black,44,Large,6'1'' to 6'3'',No,No,No,,Other,No
FTN2016-0187,4/4/2016,FOB - Field Operations Bureau,5th District,B Platoon,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,None detected,Yes,Black,Male,42,25,4 feet to 6 feet,Male,Black,36,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2017-0281,6/3/2017,FOB - Field Operations Bureau,7th District,D.I.U.,Squad 1,Regular Working,,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,Mentally unstable,Yes,White,Male,51,0,0 feet to 1 feet,Male,White,20,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0511,10/15/2016,FOB - Field Operations Bureau,6th District,A Platoon,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1,CEW Exhibited/Laser,L1,Unknown,No,Black,Female,30,15,0 feet to 1 feet,Male,Black,26,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No
